A,B,xab_type_freq
./experimentFiles/gabors/testing/pair0/gab_sig32_0_theta1_9_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair0/gab_sig32_0_theta1_9_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair1/gab_sig32_0_theta1_1_psi0_0_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair1/gab_sig28_0_theta1_1_psi0_0_gam1_80_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair2/gab_sig28_0_theta0_2_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair2/gab_sig28_0_theta0_2_psi0_0_gam1_00_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair3/gab_sig28_0_theta0_2_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair3/gab_sig28_0_theta0_2_psi0_0_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair4/gab_sig32_0_theta1_2_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair4/gab_sig32_0_theta1_2_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair5/gab_sig20_0_theta1_9_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair5/gab_sig20_0_theta1_9_psi0_0_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair6/gab_sig28_0_theta2_0_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair6/gab_sig32_0_theta2_0_psi0_0_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair7/gab_sig32_0_theta1_1_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair7/gab_sig32_0_theta1_1_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair8/gab_sig20_0_theta1_3_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair8/gab_sig20_0_theta1_3_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair9/gab_sig24_0_theta1_1_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair9/gab_sig24_0_theta1_1_psi3_1_gam1_80_lam20_0_cat_1.jpg,between
